Player,Teams,Maps,Rounds,K-D Diff,K/D,Rating2.0
ZywOo,,140,3869,881,1.39,1.29
sh1ro,,128,3540,801,1.41,1.23
NiKo,,117,3106,368,1.19,1.2
m0NESY,,117,3106,543,1.3,1.2
blameF,,123,3432,432,1.21,1.19
s1mple,,121,3311,505,1.25,1.19
Ax1Le,,117,3221,327,1.16,1.16
ropz,,144,3871,482,1.2,1.14
stavn,,143,3824,253,1.1,1.13
SunPayus,,109,2996,364,1.21,1.13
broky,,144,3871,470,1.2,1.12
Spinx,,140,3869,329,1.13,1.11
Twistzz,,144,3871,227,1.09,1.1
NAF,,129,3484,233,1.11,1.09
YEKINDAR,,129,3484,-4,1,1.09
cadiaN,,149,3997,266,1.11,1.09
HObbit,,127,3513,35,1.02,1.08
huNter-,,117,3106,160,1.08,1.07
Magisk,,140,3869,53,1.02,1.07
jabbi,,148,3975,98,1.04,1.06
rain,,137,3702,-94,0.96,1.05
flameZ,,120,3268,-87,0.96,1.05
electroNic,,116,3183,-73,0.97,1.05
EliGE,,126,3408,2,1,1.05
TeSeS,,149,3997,-15,0.99,1.05
dycha,,109,2996,10,1,1.05
k0nfig,,103,2847,-7,1,1.04
jks,,117,3106,76,1.04,1.04
sjuush,,149,3997,-10,1,1.04
REZ,,125,3388,54,1.03,1.04
b1t,,123,3361,40,1.02,1.04
tabseN,,101,2752,-138,0.93,1.03
Perfecto,,116,3183,45,1.02,1.03
oSee,,129,3484,166,1.08,1.03
Krimbo,,101,2752,48,1.03,1.02
Brollan,,125,3388,-251,0.89,0.99
dupreeh,,119,3305,-113,0.95,0.99
k1to,,101,2752,-198,0.9,0.98
Maden,,109,2996,-198,0.91,0.97
NEOFRAG,,105,2868,-267,0.87,0.96
F1KU,,105,2870,-217,0.89,0.94
Aleksib,,109,2997,-290,0.85,0.94
nafany,,115,3158,-444,0.8,0.92
Snappi,,109,2996,-375,0.82,0.91
dexter,,103,2731,-329,0.83,0.9
apEX,,140,3869,-505,0.81,0.9
nitr0,,115,3108,-360,0.82,0.9
karrigan,,144,3871,-668,0.75,0.86
HooXi,,117,3106,-597,0.72,0.84
